investor_permalink,investor_name,total,average_age,under_20,t20,t30,t40,t50,t60
500-startups,500 Startups,74,30.0657534246575,0,45,27,1,1,0
accel-partners,Accel Partners,38,31.5506849315069,1,12,21,4,0,0
andreessen-horowitz,Andreessen Horowitz,30,30.7287671232877,0,14,13,3,0,0
atlas-venture,Atlas Venture,13,32.1671232876712,0,7,4,2,0,0
atomico,Atomico,15,35.8602739726027,0,3,6,6,0,0
balderton-capital,Balderton Capital,17,32.6246575342466,1,5,6,5,0,0
baseline-ventures,Baseline Ventures,18,30.4794520547945,0,8,10,0,0,0
battery-ventures,Battery Ventures,11,34.9616438356164,0,3,6,2,0,0
benchmark-2,Benchmark,17,32.3041095890411,0,7,8,2,0,0
bessemer-venture-partners,Bessemer Venture Partners,19,36.1424657534247,0,5,6,7,0,1
charles-river-ventures,Charles River Ventures,13,31.5972602739726,0,6,5,2,0,0
collaborative-fund,Collaborative Fund,10,30.2575342465753,0,6,3,1,0,0
crosslink-capital,Crosslink Capital,12,31.8054794520548,0,6,4,2,0,0
crunchfund,CrunchFund,31,32.9917808219178,1,7,19,4,0,0
data-collective,Data Collective,13,32.6438356164384,0,3,9,1,0,0
draper-fisher-jurvetson,Draper Fisher Jurvetson (DFJ),25,34.0602739726027,0,7,15,2,1,0
e-ventures,e.ventures,11,31.3808219178082,0,4,6,1,0,0
felicis-ventures,Felicis Ventures,20,29.9452054794521,0,13,6,1,0,0
ff-venture-capital,ff Venture Capital,11,32.5452054794521,0,4,6,1,0,0
first-round-capital,First Round Capital,36,33.2712328767123,1,12,15,6,2,0
floodgate,FLOODGATE,21,30.7150684931507,0,10,9,2,0,0
founder-collective,Founder Collective,41,29.9095890410959,0,23,15,3,0,0
founders-fund,Founders Fund,29,28.8383561643836,0,17,11,1,0,0
foundry-group,Foundry Group,17,32.6082191780822,1,6,7,3,0,0
general-catalyst-partners,General Catalyst Partners,11,31.4246575342466,0,5,3,3,0,0
goldman-sachs,Goldman Sachs,12,33.1780821917808,1,6,2,2,0,1
google-ventures,Google Ventures,34,31.4739726027397,0,16,14,3,1,0
greylock,Greylock Partners,41,33.6438356164384,0,15,18,7,1,0
highland-capital-partners,Highland Capital Partners,14,33.2876712328767,0,6,6,1,1,0
ia-ventures,IA Ventures,14,33.3369863013699,0,6,4,4,0,0
ignition-partners,Ignition Partners,11,31.7780821917808,0,5,4,2,0,0
index-ventures,Index Ventures,29,32.3369863013699,0,7,19,3,0,0
institutional-venture-partners,Institutional Venture Partners,10,37.8794520547945,0,2,3,4,1,0
intel-capital,Intel Capital,27,36.813698630137,0,4,14,8,1,0
khosla-ventures,Khosla Ventures,16,35.6876712328767,0,6,6,1,3,0
kima-ventures,Kima Ventures,19,32.7506849315068,1,3,13,2,0,0
kleiner-perkins-caufield-byers,Kleiner Perkins Caufield & Byers,30,33.4164383561644,1,7,16,5,1,0
lerer-ventures,Lerer Ventures,35,31.0356164383562,0,18,14,3,0,0
lightbank,Lightbank,15,29.1534246575342,0,7,8,0,0,0
lightspeed-venture-partners,Lightspeed Venture Partners,14,34.0821917808219,0,5,7,1,1,0
lowercase-capital,Lowercase Capital,14,29.4301369863014,0,6,7,1,0,0
mayfield-fund,Mayfield Fund,11,35.0438356164384,0,2,5,4,0,0
menlo-ventures,Menlo Ventures,17,32.8,0,7,8,2,0,0
new-enterprise-associates,New Enterprise Associates,30,34.3424657534247,0,9,16,4,0,1
plug-and-play-ventures,Plug & Play Ventures,12,32.0493150684932,0,3,7,2,0,0
pritzker-group-venture-capital,Pritzker Group Venture Capital,10,30.1452054794521,0,4,6,0,0,0
qualcomm-ventures,Qualcomm Ventures,11,30.8109589041096,0,6,5,0,0,0
quotidian-ventures,Quotidian Ventures,13,30.6739726027397,0,7,5,1,0,0
redpoint-ventures,Redpoint Ventures,22,35.3561643835616,0,4,12,5,1,0
rre-ventures,RRE Ventures,16,32.9123287671233,0,7,6,3,0,0
sequoia-capital,Sequoia Capital,41,31.2520547945205,1,23,12,4,1,0
shasta-ventures,Shasta Ventures,11,31.1424657534247,0,4,5,2,0,0
signia-venture-partners,Signia Venture Partners,10,30.0,0,4,6,0,0,0
social-starts,Social Starts,13,30.8739726027397,0,9,2,2,0,0
softbank-capital,SoftBank Capital,14,33.4547945205479,0,5,5,4,0,0
softtech-vc,SoftTech VC,20,30.8027397260274,0,10,8,2,0,0
spark-capital,Spark Capital,16,30.7753424657534,1,5,8,1,1,0
start-fund,Start Fund,18,28.9013698630137,0,11,6,1,0,0
sv-angel,SV Angel,114,30.813698630137,2,55,45,10,2,0
trinity-ventures,Trinity Ventures,10,34.0054794520548,0,2,6,2,0,0
true-ventures,True Ventures,33,32.0246575342466,1,11,17,3,1,0
t-venture,T-Venture,10,33.0191780821918,0,2,6,2,0,0
union-square-ventures,Union Square Ventures,14,29.0794520547945,1,4,9,0,0,0
venrock,Venrock,10,35.8,0,0,8,2,0,0
venture51,Venture51,11,31.2712328767123,0,4,6,1,0,0
xg-ventures,XG Ventures,11,30.5013698630137,0,7,3,1,0,0
